Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:101
c4b8a3b1-0051-0000-0000-000000000001,,,Spanisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0052-0000-0000-000000000001,,,Suaheli,,,Misc,N/A,,,_version:1,
c4b8a3b1-0053-0000-0000-000000000001,,,Tadschikisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0054-0000-0000-000000000001,,,Tamil,,,Misc,N/A,,,_version:1,
c4b8a3b1-0055-0000-0000-000000000001,,,Tibetisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0056-0000-0000-000000000001,,,Tigrinya,,,Misc,N/A,,,_version:1,
c4b8a3b1-0057-0000-0000-000000000001,,,Tschechisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0058-0000-0000-000000000001,,,Türkisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0059-0000-0000-000000000001,,,Turkmenisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0060-0000-0000-000000000001,,,Ukrainisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0061-0000-0000-000000000001,,,Ungarisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0062-0000-0000-000000000001,,,Urdu,,,Misc,N/A,,,_version:1,
c4b8a3b1-0063-0000-0000-000000000001,,,Usbekisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0064-0000-0000-000000000001,,,Vietnamesisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0065-0000-0000-000000000001,,,Weißrussisch,,,Misc,N/A,,,_version:1,
c4b8a3b1-0066-0000-0000-000000000001,,,Yoruba,,,Misc,N/A,,,_version:1,
