uuid,Fully Specified Name:en,Short Name:en,Description:en,Concept Class,Datatype,Concept Sets,Answers
c4b8a3b0-0038-0000-0000-000000000001,Deutschland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0039-0000-0000-000000000001,Dominica,,,Misc,N/A,Nationality Set,
c4b8a3b0-0040-0000-0000-000000000001,Dominikanische Republik,,,Misc,N/A,Nationality Set,
c4b8a3b0-0041-0000-0000-000000000001,Dschibuti,,,Misc,N/A,Nationality Set,
c4b8a3b0-0042-0000-0000-000000000001,Ecuador,,,Misc,N/A,Nationality Set,
c4b8a3b0-0043-0000-0000-000000000001,El Salvador,,,Misc,N/A,Nationality Set,
c4b8a3b0-0044-0000-0000-000000000001,Eritrea,,,Misc,N/A,Nationality Set,
c4b8a3b0-0045-0000-0000-000000000001,Estland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0046-0000-0000-000000000001,Eswatini,,,Misc,N/A,Nationality Set,
c4b8a3b0-0047-0000-0000-000000000001,Fidschi,,,Misc,N/A,Nationality Set,
c4b8a3b0-0048-0000-0000-000000000001,Finnland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0049-0000-0000-000000000001,Frankreich,,,Misc,N/A,Nationality Set,
c4b8a3b0-0050-0000-0000-000000000001,Gabun,,,Misc,N/A,Nationality Set,
c4b8a3b0-0051-0000-0000-000000000001,Gambia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0052-0000-0000-000000000001,Georgien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0053-0000-0000-000000000001,Ghana,,,Misc,N/A,Nationality Set,
c4b8a3b0-0054-0000-0000-000000000001,Grenada,,,Misc,N/A,Nationality Set,
c4b8a3b0-0055-0000-0000-000000000001,Griechenland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0056-0000-0000-000000000001,Guatemala,,,Misc,N/A,Nationality Set,
c4b8a3b0-0057-0000-0000-000000000001,Guinea,,,Misc,N/A,Nationality Set,
c4b8a3b0-0058-0000-0000-000000000001,Guinea-Bissau,,,Misc,N/A,Nationality Set,
c4b8a3b0-0059-0000-0000-000000000001,Guyana,,,Misc,N/A,Nationality Set,
c4b8a3b0-0060-0000-0000-000000000001,Haiti,,,Misc,N/A,Nationality Set,
c4b8a3b0-0061-0000-0000-000000000001,Honduras,,,Misc,N/A,Nationality Set,
c4b8a3b0-0062-0000-0000-000000000001,Indien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0063-0000-0000-000000000001,Indonesien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0064-0000-0000-000000000001,Irak,,,Misc,N/A,Nationality Set,
c4b8a3b0-0065-0000-0000-000000000001,Iran,,,Misc,N/A,Nationality Set,
c4b8a3b0-0066-0000-0000-000000000001,Irland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0067-0000-0000-000000000001,Island,,,Misc,N/A,Nationality Set,
c4b8a3b0-0068-0000-0000-000000000001,Israel,,,Misc,N/A,Nationality Set,
c4b8a3b0-0069-0000-0000-000000000001,Italien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0070-0000-0000-000000000001,Jamaika,,,Misc,N/A,Nationality Set,
c4b8a3b0-0071-0000-0000-000000000001,Japan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0072-0000-0000-000000000001,Jemen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0073-0000-0000-000000000001,Jordanien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0074-0000-0000-000000000001,Kambodscha,,,Misc,N/A,Nationality Set,
c4b8a3b0-0075-0000-0000-000000000001,Kamerun,,,Misc,N/A,Nationality Set,
c4b8a3b0-0076-0000-0000-000000000001,Kanada,,,Misc,N/A,Nationality Set,
c4b8a3b0-0077-0000-0000-000000000001,Kap Verde,,,Misc,N/A,Nationality Set,
c4b8a3b0-0078-0000-0000-000000000001,Kasachstan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0079-0000-0000-000000000001,Katar,,,Misc,N/A,Nationality Set,
c4b8a3b0-0080-0000-0000-000000000001,Kenia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0081-0000-0000-000000000001,Kirgisistan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0082-0000-0000-000000000001,Kiribati,,,Misc,N/A,Nationality Set,
c4b8a3b0-0083-0000-0000-000000000001,Kolumbien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0084-0000-0000-000000000001,Komoren,,,Misc,N/A,Nationality Set,
c4b8a3b0-0085-0000-0000-000000000001,Kongo,,,Misc,N/A,Nationality Set,
c4b8a3b0-0086-0000-0000-000000000001,Kosovo,,,Misc,N/A,Nationality Set,
c4b8a3b0-0087-0000-0000-000000000001,Kroatien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0088-0000-0000-000000000001,Kuba,,,Misc,N/A,Nationality Set,
c4b8a3b0-0089-0000-0000-000000000001,Kuwait,,,Misc,N/A,Nationality Set,
c4b8a3b0-0090-0000-0000-000000000001,Laos,,,Misc,N/A,Nationality Set,
c4b8a3b0-0091-0000-0000-000000000001,Lesotho,,,Misc,N/A,Nationality Set,
c4b8a3b0-0092-0000-0000-000000000001,Lettland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0093-0000-0000-000000000001,Libanon,,,Misc,N/A,Nationality Set,
c4b8a3b0-0094-0000-0000-000000000001,Liberia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0095-0000-0000-000000000001,Libyen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0096-0000-0000-000000000001,Liechtenstein,,,Misc,N/A,Nationality Set,
c4b8a3b0-0097-0000-0000-000000000001,Litauen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0098-0000-0000-000000000001,Luxemburg,,,Misc,N/A,Nationality Set,
c4b8a3b0-0099-0000-0000-000000000001,Madagaskar,,,Misc,N/A,Nationality Set,
c4b8a3b0-0100-0000-0000-000000000001,Malawi,,,Misc,N/A,Nationality Set,
c4b8a3b0-0101-0000-0000-000000000001,Malaysia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0102-0000-0000-000000000001,Malediven,,,Misc,N/A,Nationality Set,
c4b8a3b0-0103-0000-0000-000000000001,Mali,,,Misc,N/A,Nationality Set,
c4b8a3b0-0104-0000-0000-000000000001,Malta,,,Misc,N/A,Nationality Set,
c4b8a3b0-0105-0000-0000-000000000001,Marokko,,,Misc,N/A,Nationality Set,
c4b8a3b0-0106-0000-0000-000000000001,Marshallinseln,,,Misc,N/A,Nationality Set,
c4b8a3b0-0107-0000-0000-000000000001,Mauretanien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0108-0000-0000-000000000001,Mauritius,,,Misc,N/A,Nationality Set,
c4b8a3b0-0109-0000-0000-000000000001,Mexiko,,,Misc,N/A,Nationality Set,
c4b8a3b0-0110-0000-0000-000000000001,Mikronesien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0111-0000-0000-000000000001,Moldau,,,Misc,N/A,Nationality Set,
c4b8a3b0-0112-0000-0000-000000000001,Monaco,,,Misc,N/A,Nationality Set,
c4b8a3b0-0113-0000-0000-000000000001,Mongolei,,,Misc,N/A,Nationality Set,
c4b8a3b0-0114-0000-0000-000000000001,Montenegro,,,Misc,N/A,Nationality Set,
c4b8a3b0-0115-0000-0000-000000000001,Mosambik,,,Misc,N/A,Nationality Set,
c4b8a3b0-0116-0000-0000-000000000001,Myanmar,,,Misc,N/A,Nationality Set,
c4b8a3b0-0117-0000-0000-000000000001,Namibia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0118-0000-0000-000000000001,Nauru,,,Misc,N/A,Nationality Set,
c4b8a3b0-0119-0000-0000-000000000001,Nepal,,,Misc,N/A,Nationality Set,
c4b8a3b0-0120-0000-0000-000000000001,Neuseeland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0121-0000-0000-000000000001,Nicaragua,,,Misc,N/A,Nationality Set,
c4b8a3b0-0122-0000-0000-000000000001,Niger,,,Misc,N/A,Nationality Set,
c4b8a3b0-0123-0000-0000-000000000001,Nigeria,,,Misc,N/A,Nationality Set,
c4b8a3b0-0124-0000-0000-000000000001,Nordkorea,,,Misc,N/A,Nationality Set,
c4b8a3b0-0125-0000-0000-000000000001,Nordmazedonien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0126-0000-0000-000000000001,Norwegen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0127-0000-0000-000000000001,Oman,,,Misc,N/A,Nationality Set,
c4b8a3b0-0128-0000-0000-000000000001,Österreich,,,Misc,N/A,Nationality Set,
c4b8a3b0-0129-0000-0000-000000000001,Pakistan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0130-0000-0000-000000000001,Palau,,,Misc,N/A,Nationality Set,
c4b8a3b0-0131-0000-0000-000000000001,Palästina,,,Misc,N/A,Nationality Set,
c4b8a3b0-0132-0000-0000-000000000001,Panama,,,Misc,N/A,Nationality Set,
c4b8a3b0-0133-0000-0000-000000000001,Papua-Neuguinea,,,Misc,N/A,Nationality Set,
c4b8a3b0-0134-0000-0000-000000000001,Paraguay,,,Misc,N/A,Nationality Set,
c4b8a3b0-0135-0000-0000-000000000001,Peru,,,Misc,N/A,Nationality Set,
c4b8a3b0-0136-0000-0000-000000000001,Philippinen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0137-0000-0000-000000000001,Polen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0138-0000-0000-000000000001,Portugal,,,Misc,N/A,Nationality Set,
c4b8a3b0-0139-0000-0000-000000000001,Ruanda,,,Misc,N/A,Nationality Set,
c4b8a3b0-0140-0000-0000-000000000001,Rumänien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0141-0000-0000-000000000001,Russland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0142-0000-0000-000000000001,Salomonen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0143-0000-0000-000000000001,Sambia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0144-0000-0000-000000000001,Samoa,,,Misc,N/A,Nationality Set,
c4b8a3b0-0145-0000-0000-000000000001,San Marino,,,Misc,N/A,Nationality Set,
c4b8a3b0-0146-0000-0000-000000000001,São tomé und Príncipe,,,Misc,N/A,Nationality Set,
c4b8a3b0-0147-0000-0000-000000000001,Saudi-Arabien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0148-0000-0000-000000000001,Schweden,,,Misc,N/A,Nationality Set,
c4b8a3b0-0149-0000-0000-000000000001,Schweiz,,,Misc,N/A,Nationality Set,
c4b8a3b0-0150-0000-0000-000000000001,Senegal,,,Misc,N/A,Nationality Set,
c4b8a3b0-0151-0000-0000-000000000001,Serbien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0152-0000-0000-000000000001,Seychellen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0153-0000-0000-000000000001,Sierra Leone,,,Misc,N/A,Nationality Set,
c4b8a3b0-0154-0000-0000-000000000001,Simbabwe,,,Misc,N/A,Nationality Set,
c4b8a3b0-0155-0000-0000-000000000001,Singapur,,,Misc,N/A,Nationality Set,
c4b8a3b0-0156-0000-0000-000000000001,Slowakei,,,Misc,N/A,Nationality Set,
c4b8a3b0-0157-0000-0000-000000000001,Slowenien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0158-0000-0000-000000000001,Somalia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0159-0000-0000-000000000001,Spanien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0160-0000-0000-000000000001,Sri Lanka,,,Misc,N/A,Nationality Set,
c4b8a3b0-0161-0000-0000-000000000001,St. Kitts und Nevis,,,Misc,N/A,Nationality Set,
c4b8a3b0-0162-0000-0000-000000000001,St. Lucia,,,Misc,N/A,Nationality Set,
c4b8a3b0-0163-0000-0000-000000000001,St. Vincent und die Grenadinen,,,Misc,N/A,Nationality Set,
c4b8a3b0-0164-0000-0000-000000000001,Südafrika,,,Misc,N/A,Nationality Set,
c4b8a3b0-0165-0000-0000-000000000001,Sudan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0166-0000-0000-000000000001,Südkorea,,,Misc,N/A,Nationality Set,
c4b8a3b0-0167-0000-0000-000000000001,Südsudan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0168-0000-0000-000000000001,Suriname,,,Misc,N/A,Nationality Set,
c4b8a3b0-0169-0000-0000-000000000001,Syrien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0170-0000-0000-000000000001,Tadschikistan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0171-0000-0000-000000000001,Tansania,,,Misc,N/A,Nationality Set,
c4b8a3b0-0172-0000-0000-000000000001,Thailand,,,Misc,N/A,Nationality Set,
c4b8a3b0-0173-0000-0000-000000000001,Timor-Leste,,,Misc,N/A,Nationality Set,
c4b8a3b0-0174-0000-0000-000000000001,Togo,,,Misc,N/A,Nationality Set,
c4b8a3b0-0175-0000-0000-000000000001,Tonga,,,Misc,N/A,Nationality Set,
c4b8a3b0-0176-0000-0000-000000000001,Trinidad und Tobago,,,Misc,N/A,Nationality Set,
c4b8a3b0-0177-0000-0000-000000000001,Tschad,,,Misc,N/A,Nationality Set,
c4b8a3b0-0178-0000-0000-000000000001,Tschechien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0179-0000-0000-000000000001,Tunesien,,,Misc,N/A,Nationality Set,
c4b8a3b0-0180-0000-0000-000000000001,Türkei,,,Misc,N/A,Nationality Set,
c4b8a3b0-0181-0000-0000-000000000001,Turkmenistan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0182-0000-0000-000000000001,Tuvalu,,,Misc,N/A,Nationality Set,
c4b8a3b0-0183-0000-0000-000000000001,Uganda,,,Misc,N/A,Nationality Set,
c4b8a3b0-0184-0000-0000-000000000001,Ukraine,,,Misc,N/A,Nationality Set,
c4b8a3b0-0185-0000-0000-000000000001,Ungarn,,,Misc,N/A,Nationality Set,
c4b8a3b0-0186-0000-0000-000000000001,Uruguay,,,Misc,N/A,Nationality Set,
c4b8a3b0-0187-0000-0000-000000000001,Usbekistan,,,Misc,N/A,Nationality Set,
c4b8a3b0-0188-0000-0000-000000000001,Vanuatu,,,Misc,N/A,Nationality Set,
c4b8a3b0-0189-0000-0000-000000000001,Venezuela,,,Misc,N/A,Nationality Set,
c4b8a3b0-0190-0000-0000-000000000001,Vereinigte Arabische Emirate,,,Misc,N/A,Nationality Set,
c4b8a3b0-0191-0000-0000-000000000001,Vereinigtes Königreich,,,Misc,N/A,Nationality Set,
c4b8a3b0-0192-0000-0000-000000000001,Vereinigte Staaten,,,Misc,N/A,Nationality Set,
c4b8a3b0-0193-0000-0000-000000000001,Vietnam,,,Misc,N/A,Nationality Set,
c4b8a3b0-0194-0000-0000-000000000001,Weißrussland,,,Misc,N/A,Nationality Set,
c4b8a3b0-0195-0000-0000-000000000001,Zentralafrikanische Republik,,,Misc,N/A,Nationality Set,
c4b8a3b0-0196-0000-0000-000000000001,Zypern,,,Misc,N/A,Nationality Set,
c4b8a3b0-ff00-0000-0000-000000000001,Nationality Set,,,ConvSet,N/A,,
